"会場","開催日","箱番号","番号","レーン名","品名","ブランド名","枠","脇石","重量","品番","ランク","スタート価格","予想時刻","オークション結果","落札価格"
"JBA東京","2024/04/30","412","1","---","時計","ROLEX","SS","AT","","126710BLNR GMTﾏｽﾀｰⅡ 箱 ｶｰﾄﾞ ｺﾏ1 別展 ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ 新J","","0","","落札","2150000"
"JBA東京","2024/04/30","419","3","---","時計","ROLEX","CE/SS","AT","142.3g","116500LN ｺｽﾓｸﾞﾗﾌ ﾃﾞｲﾄﾅ 箱 ｶｰﾄﾞ 別展 ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ 新J","","0","","落札","3760000"
"JBA東京","2024/04/30","419","4","---","時計","ROLEX","YG/SS","AT","","68273 ﾃﾞｲﾄｼﾞｬｽﾄ 箱 保 旧J 旧P N番","","0","","落札","743000"
"JBA東京","2024/04/30","424","5","---","時計","ROLEX","SS","AT","","ﾌﾟﾚｼｼﾞｮﾝ 社外ﾍﾞﾙﾄ 純正尾錠","","0","","落札","99000"
"JBA東京","2024/04/30","425","1","---","時計","ROLEX","SS","AT","","14270 ｴｸｽﾌﾟﾛｰﾗｰ 箱 保 新J A番 ﾘｭｰｽﾞ無し","","0","","落札","557000"
"JBA東京","2024/04/30","432","3","---","時計","ROLEX","SS","AT","140.7g","116500LN ﾃﾞｲﾄﾅ 箱 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ ﾙｰﾚｯﾄ","","0","","落札","3941000"
"JBA東京","2024/04/30","432","8","---","時計","ROLEX","YG","AT","74.9g","791789 ﾃﾞｲﾄｼﾞｬｽﾄ 箱 保2 別展 新J 新P T番","","0","","落札","1026000"
"JBA東京","2024/04/30","432","9","---","時計","ROLEX","YG","AT","102.0g","16233G ﾃﾞｲﾄｼﾞｬｽﾄ 新J 旧P S番","","0","","落札","693000"
"JBA東京","2024/04/30","433","1","---","時計","ROLEX","YG/SS","AT","","116503 ﾃﾞｲﾄﾅ/黒 箱 ｶｰﾄﾞ ｺﾏ2 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","2572000"
"JBA東京","2024/04/30","433","2","---","時計","ROLEX","PG/SS","AT","","179161G ﾃﾞｲﾄｼﾞｬｽﾄ/ﾛｼﾞｳﾑ ｹｰｽ ｶｰﾄﾞ ｺﾏ1 別展 新J 新P D番 ﾙｰﾚｯﾄ","","0","","落札","1150000"
"JBA東京","2024/04/30","433","3","---","時計","ROLEX","SS","AT","","116610LN ｻﾌﾞﾏﾘｰﾅ/黒 箱 ｶｰﾄﾞ ｹｰｽｶﾊﾞｰ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","1475000"
"JBA東京","2024/04/30","433","4","---","時計","ROLEX","WG/SS","AT","","279174 ﾃﾞｲﾄｼﾞｬｽﾄ/ｼﾙﾊﾞｰ ｹｰｽ ｶｰﾄﾞ ｺﾏ2 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","873000"
"JBA東京","2024/04/30","433","5","---","時計","ROLEX","SS","AT","","177200 ｵｲｽﾀｰﾊﾟｰﾍﾟﾁｭｱﾙ/ｼﾙﾊﾞｰ ｶｰﾄﾞ ｺﾏ2 ﾀｸﾞ ｹｰｽｶﾊﾞｰ 冊子 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","566000"
"JBA東京","2024/04/30","437","3","---","時計","ROLEX","WG/革","手巻き","","ｵｰｷｯﾄﾞ ﾘｭｰｽﾞ 現状","","0","","落札","66000"
"JBA東京","2024/04/30","447","10","---","時計","ROLEX","YG/SS","AT","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ L番 旧J L番","","0","","落札","684000"
"JBA東京","2024/04/30","475","6","---","時計","ROLEX","SS","AT","","176200 ｵｲｽﾀｰ ﾊﾟｰﾍﾟﾁｭｱﾙ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","438000"
"JBA東京","2024/04/30","475","7","---","時計","ROLEX","SS","AT","","126660 ｼｰﾄﾞｩｴﾗｰ ﾃﾞｨｰﾌﾟｼｰ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","1835000"
"JBA東京","2024/04/30","475","8","---","時計","ROLEX","YG/SS","AT","","16523 ﾃﾞｲﾄﾅ S番 別展 新J S番","","0","","落札","2020000"
"JBA東京","2024/04/30","477","8","---","時計","ROLEX","YG/SS","AT","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ 白ﾎﾘｺﾝ 新J W番","","0","","落札","700000"
"JBA東京","2024/04/30","477","9","---","時計","ROLEX","YG/SS","AT","","16013 ﾃﾞｲﾄｼﾞｬｽﾄ ｺﾏ2 旧J R番 ﾊﾞｯｸﾙﾊﾞﾈ棒欠損","","0","","落札","520000"
"JBA東京","2024/04/30","480","1","---","時計","ROLEX","WG/SS","AT","","16220 ﾃﾞｲﾄｼﾞｬｽﾄ 箱 保 新J D番","","0","","落札","660000"
"JBA東京","2024/04/30","482","2","---","時計","ROLEX","SS","AT","","16700 GMTﾏｽﾀｰ 箱 保 修理明細 別展 旧J A番","","0","","落札","1430000"
"JBA東京","2024/04/30","482","3","---","時計","ROLEX","SS","AT","","116000 ｵｲｽﾀｰﾊﾟｰﾍﾟﾁｭｱﾙ 箱 新J M番 ﾙｰﾚｯﾄ","","0","","落札","624000"
"JBA東京","2024/04/30","485","2","---","時計","ROLEX","WG/SS","AT","","1601 ﾃﾞｲﾄｼﾞｬｽﾄ 箱 旧J 27番 枕無し･内箱劣化","","0","","落札","395000"
"JBA東京","2024/04/30","493","5","---","時計","ROLEX","WG/SS","AT","","16264 ｻﾝﾀﾞｰﾊﾞｰﾄﾞ 保 Y番 新J ｼﾘｱﾙ中央傷あり(読み取り可能)","","0","","落札","700000"
"JBA東京","2024/04/30","493","6","---","時計","ROLEX","SS","AT","","116000 ｵｲｽﾀｰ ﾊﾟｰﾍﾟﾁｭｱﾙ ｶｰﾄﾞ ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ 新J","","0","","落札","745000"
"JBA東京","2024/04/30","494","1","---","時計","ROLEX","YG/SS","AT","","69173 ﾃﾞｲﾄｼﾞｬｽﾄ 旧J 90番","","0","","落札","398000"
"JBA東京","2024/04/30","504","1","---","時計","ROLEX","","","","BOX 3点ｾｯﾄ(現行含む) 別展","","0","","落札","41000"
"JBA東京","2024/04/30","504","2","---","時計","ROLEX","","","","BOX 4ｾｯﾄ(現行含む) 別展","","0","","落札","73000"
"JBA東京","2024/04/30","505","1","---","時計","ROLEX","WG/SS","AT","","69174 ﾃﾞｲﾄｼﾞｬｽﾄ 10P 新J 新P U番","","0","","落札","415000"
"JBA東京","2024/04/30","506","1","---","時計","ROLEX","WG/SS","AT","","178274 ﾃﾞｲﾄｼﾞｬｽﾄ ｸﾞﾚｰ/ﾌﾗﾜｰ 箱 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","1026000"
"JBA東京","2024/04/30","506","2","---","時計","ROLEX","WG/ﾘｻﾞｰﾄﾞ","AT","129.8g","116519 ﾃﾞｲﾄﾅ ﾋﾞｰﾁ ﾀｰｺｲｽﾞ 箱 保 日ﾛﾚOH証明書(明細書付) 別展 新J P番 内箱ﾘｻﾞｰﾄﾞ","","0","","落札","11800000"
"JBA東京","2024/04/30","509","2","---","時計","ROLEX","WG/SS","AT","","79174 ﾃﾞｲﾄｼﾞｬｽﾄ ｹｰｽ ｺﾏ3 新J P番 枕無し","","0","","落札","385000"
"JBA東京","2024/04/30","510","1","---","時計","ROLEX","SS","AT","","16200 ﾃﾞｲﾄｼﾞｬｽﾄ ｼﾙﾊﾞｰ文字盤 箱 保 新J F番","","0","","落札","640000"
"JBA東京","2024/04/30","512","1","---","時計","ROLEX","WG/SS","AT","","116234 ﾃﾞｲﾄｼﾞｬｽﾄ ｶｰﾄﾞ 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","914000"
"JBA東京","2024/04/30","513","1","---","時計","ROLEX","SS","AT","","126300 ﾃﾞｲﾄｼﾞｬｽﾄ 箱 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","1116000"
"JBA東京","2024/04/30","513","2","---","時計","ROLEX","SS","AT","","16600 ｼｰﾄﾞｩｴﾗｰ 箱 保 ｺﾏ1 別展 旧J U番","","0","","落札","1038000"
"JBA東京","2024/04/30","513","3","---","時計","ROLEX","SS","AT","","16570 ｴｸｽﾌﾟﾛｰﾗｰⅡ 箱 保 ｺﾏ1 ｹｰｽｶﾊﾞｰ 新J F番","","0","","落札","834000"
"JBAライブ(宝石・時計)","2024/04/22","401","7","【B】時計","時計","ROLEX","YG/SS","24.5mm","","67193 ｵｲｽﾀｰﾊﾟｰﾍﾟﾁｭｱﾙ AT 箱 保 旧J X番","AB/AB","250000","10:32","落札","340000"
"JBAライブ(宝石・時計)","2024/04/22","406","3","【B】時計","時計","ROLEX","YG/SS","26mm","","69173 ﾃﾞｲﾄｼﾞｬｽﾄ AT 新J W番","AB/B","200000","11:01","落札","374000"
"JBAライブ(宝石・時計)","2024/04/22","406","6","【B】時計","時計","ROLEX","YG/SS","26mm","","79173G ﾃﾞｲﾄｼﾞｬｽﾄ 10P AT ｹｰｽ 保 新J 新P Y番 内箱蝶番破損 ｼﾘｱﾙ末尾に若干の傷","AB/AB","400000","11:02","落札","534000"
