"会場","開催日","箱番号","番号","レーン名","品名","ブランド名","枠","脇石","重量","品番","ランク","スタート価格","予想時刻","オークション結果","落札価格"
"JBA東京","2024/07/31","402","3","---","時計","ROLEX","WG/SS","AT","","69174G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ E番 箱 保 修理ｶｰﾄﾞ 旧J E番 旧P","","0","","引き","0"
"JBA東京","2024/07/31","402","6","---","時計","ROLEX","YG/SS","AT","","16233G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ 新J 新P U番","","0","","引き","0"
"JBA東京","2024/07/31","411","6","---","時計","ROLEX","YG/SS","AT","","79173G ﾃﾞｲﾄｼﾞｬｽﾄ 10Pﾀﾞｲﾔ A番 新P 新J A番","","0","","落札","530000"
"JBA東京","2024/07/31","412","2","---","時計","ROLEX","WG/SS","AT","","16234 ﾃﾞｲﾄｼﾞｬｽﾄ ｿﾌﾄｹｰｽ 修理明細 旧J X番 ｶﾞﾗｽ小傷","","0","","落札","600000"
"JBA東京","2024/07/31","416","6","---","時計","ROLEX","SS","AT","","16220 ﾃﾞｲﾄｼﾞｬｽﾄ L番 旧J L番","","0","","引き","0"
"JBA東京","2024/07/31","416","7","---","時計","ROLEX","WG/革","AT","123.9g","16519NA ﾃﾞｲﾄﾅ 別展 新J A番","","0","","引き","0"
"JBA東京","2024/07/31","417","1","---","時計","ROLEX","SS","AT","","16710 GMTﾏｽﾀｰ2 別展 旧J L番","","0","","落札","1213000"
"JBA東京","2024/07/31","417","2","---","時計","ROLEX","SS","AT","","69240 ｵｲｽﾀｰﾃﾞｲﾄ 旧J R番","","0","","落札","281000"
"JBA東京","2024/07/31","421","3","---","時計","ROLEX","YG/SS","AT","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ T番 新J T番","","0","","引き","0"
"JBA東京","2024/07/31","421","9","---","時計","ROLEX","SS","AT","","14000M ｴｱｷﾝｸﾞ K番 新J K番","","0","","落札","412000"
"JBA東京","2024/07/31","422","2","---","時計","ROLEX","PT/革","手巻き","77.3g","14763 ﾁｪﾘｰﾆ 別展 新J K番","","0","","引き","0"
"JBA東京","2024/07/31","422","8","---","時計","ROLEX","YG/SS","AT","","179173NA ﾃﾞｲﾄｼﾞｬｽﾄ 箱 保 新J D番","","0","","落札","755000"
"JBA東京","2024/07/31","426","7","---","時計","ROLEX","YG/SS","AT","","16233 ﾃﾞｲﾄｼﾞｬｽﾄ ｺﾏ2 旧J L番","","0","","引き","0"
"JBA東京","2024/07/31","427","1","---","時計","ROLEX","YG/SS","AT","","116523NG ﾃﾞｲﾄﾅ 保 別展 新J F番 新P","","0","","引き","0"
"JBA東京","2024/07/31","431","1","---","時計","ROLEX","YG","QZ","145.0g","19018 ｵｲｽﾀｰﾃﾞｲﾃﾞｲﾄ 別展 新J 65番","","0","","落札","1450000"
"JBA東京","2024/07/31","436","1","---","時計","ROLEX","CE/SS","AT","","116500LN ﾃﾞｲﾄﾅ 箱 ｶｰﾄﾞ ｺﾏ2 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ","","0","","落札","3400000"
"JBA東京","2024/07/31","437","5","---","時計","ROLEX","YG/SS","AT","","16013 ﾃﾞｲﾄｼﾞｬｽﾄ 64番 旧J 64番","","0","","引き","0"
"JBA東京","2024/07/31","437","8","---","時計","ROLEX","SS","AT","","14060M ｻﾌﾞﾏﾘｰﾅ･ﾉﾝﾃﾞｲﾄ P番 保 別展 旧J P番","","0","","引き","0"
