会場,開催日,箱番号,番号,レーン名,品名,ブランド名,枠,脇石,重量,品番,,ランク,スタート価格,予想時刻,オークション結果,落札価格
JBA東京,2024/05/31,402,5,---,時計,ROLEX,YG/革,手巻き,34.8g,5112/8G ﾁｪﾘｰﾆ N番,,0,,落札,352000
JBA東京,2024/05/31,411,9,---,時計,ROLEX,YG/SS,AT,,16233, ﾃﾞｲﾄｼﾞｬｽﾄ S番 箱 保 S番 新J,,0,,落札,786000
JBA東京,2024/05/31,412,6,---,時計,ROLEX,SS,手巻き,,6694, ｵｲｽﾀｰﾃﾞｲﾄﾌﾟﾚｼｼﾞｮﾝ 旧J 31番,,0,,落札,220000
JBA東京,2024/05/31,426,9,---,時計,ROLEX,SS,AT,,16700, GMTﾏｽﾀｰⅠ 別展 旧J W番,,0,,落札,1281000
JBA東京,2024/05/31,426,10,---,時計,ROLEX,YG/SS,AT,,124273, ｴｸｽﾌﾟﾛｰﾗｰⅠ ﾗﾝﾀﾞﾑ番 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ,,0,,落札,1240000
JBA東京,2024/05/31,433,2,---,時計,ROLEX,YG/GP/革,AT,51.0g,1503/8 ﾊﾟｰﾍﾟﾁｭｱﾙ ﾃﾞｲﾄ 20番 品番･ｼﾘｱﾙ消えあり,,0,,落札,410000
JBA東京,2024/05/31,433,6,---,時計,ROLEX,YG/SS,AT,,16233G, ﾃﾞｲﾄｼﾞｬｽﾄ L番 箱 保 旧J 旧P L番,,0,,落札,660000
JBA東京,2024/05/31,440,1,---,時計,ROLEX,YG/SS,AT,,116503NG, ﾃﾞｲﾄﾅ ｼｪﾙ文字盤 箱 ｶｰﾄﾞ ｺﾏ1 別展 新J 新P ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ,,0,,落札,3250000
JBA東京,2024/05/31,446,1,---,時計,ROLEX,SS,AT,,136660, ｼｰﾄﾞｩｴﾗｰﾃﾞｨｰﾌﾟｼｰ ﾌﾞﾙｰ 箱 ｶｰﾄﾞ 別展 新J ﾗﾝﾀﾞﾑ番 ﾙｰﾚｯﾄ,,0,,落札,2100000
JBA東京,2024/05/31,447,10,---,時計,ROLEX,SS,AT,,116520, ﾃﾞｲﾄﾅ Z番 保 別展 新J Z番,,0,,落札,2562000
